date;close
31/01/2020;179,65
1/02/2020;183,65
2/02/2020;188,37
3/02/2020;189,68
4/02/2020;188,39
5/02/2020;203,86
6/02/2020;212,87
7/02/2020;223,24
8/02/2020;223,21
9/02/2020;228,65
10/02/2020;223,19
11/02/2020;237,74
12/02/2020;265,94
13/02/2020;268,52
14/02/2020;285,64
15/02/2020;264,67
16/02/2020;259,95
17/02/2020;267,50
18/02/2020;283,08
19/02/2020;258,79
20/02/2020;257,71
21/02/2020;265,62
22/02/2020;262,10
23/02/2020;275,58
24/02/2020;265,86
25/02/2020;246,79
26/02/2020;223,97
27/02/2020;227,59
28/02/2020;227,75
29/02/2020;217,91
1/03/2020;218,27
2/03/2020;232,09
3/03/2020;223,96
4/03/2020;224,87
5/03/2020;228,78
6/03/2020;245,68
7/03/2020;237,64
8/03/2020;199,75
9/03/2020;203,06
10/03/2020;200,60
11/03/2020;194,82
12/03/2020;110,23
13/03/2020;135,18
14/03/2020;122,70
15/03/2020;123,64
16/03/2020;111,34
17/03/2020;116,20
18/03/2020;118,60
19/03/2020;136,81
20/03/2020;133,31
21/03/2020;132,83
22/03/2020;122,51
23/03/2020;136,64
24/03/2020;139,00
25/03/2020;136,23
26/03/2020;138,81
27/03/2020;131,68
28/03/2020;131,24
29/03/2020;124,53
30/03/2020;132,29
31/03/2020;133,10
1/04/2020;136,07
2/04/2020;141,46
3/04/2020;141,48
4/04/2020;144,53
5/04/2020;142,82
6/04/2020;171,78
7/04/2020;164,70
8/04/2020;173,21
9/04/2020;169,89
10/04/2020;158,16
11/04/2020;158,55
12/04/2020;158,81
13/04/2020;156,81
14/04/2020;158,64
15/04/2020;152,94
16/04/2020;172,60
17/04/2020;170,79
18/04/2020;187,85
19/04/2020;180,32
20/04/2020;170,65
21/04/2020;171,03
22/04/2020;183,02
23/04/2020;185,73
24/04/2020;187,66
25/04/2020;194,41
26/04/2020;197,62
27/04/2020;196,71
28/04/2020;196,88
29/04/2020;215,58
30/04/2020;206,44
1/05/2020;212,16
2/05/2020;214,11
3/05/2020;210,12
4/05/2020;206,76
5/05/2020;205,43
6/05/2020;199,08
7/05/2020;212,30
8/05/2020;211,46
9/05/2020;210,19
10/05/2020;187,72
11/05/2020;185,77
12/05/2020;190,10
13/05/2020;199,86
14/05/2020;203,31
15/05/2020;194,71
16/05/2020;200,60
17/05/2020;206,76
18/05/2020;214,68
19/05/2020;214,68
20/05/2020;209,87
21/05/2020;198,56
22/05/2020;207,35
23/05/2020;206,78
24/05/2020;199,91
25/05/2020;204,20
26/05/2020;201,04
27/05/2020;208,30
28/05/2020;220,33
29/05/2020;220,63
30/05/2020;243,66
31/05/2020;231,54
1/06/2020;248,44
2/06/2020;237,81
3/06/2020;244,65
4/06/2020;243,35
5/06/2020;240,08
6/06/2020;242,08
7/06/2020;244,75
8/06/2020;246,47
9/06/2020;244,00
10/06/2020;248,01
11/06/2020;230,21
12/06/2020;237,54
13/06/2020;238,21
14/06/2020;231,61
15/06/2020;230,98
16/06/2020;235,35
17/06/2020;233,74
18/06/2020;231,14
19/06/2020;228,83
20/06/2020;228,93
21/06/2020;227,95
22/06/2020;243,30
23/06/2020;243,11
24/06/2020;234,56
25/06/2020;232,35
26/06/2020;229,50
27/06/2020;220,77
28/06/2020;224,82
29/06/2020;227,84
30/06/2020;225,49
1/07/2020;231,06
2/07/2020;226,59
3/07/2020;225,12
4/07/2020;229,19
5/07/2020;228,03
6/07/2020;241,81
